RENTAL_ZONE_HAL_ID,RENTAL_ZONE_HAL_SRC,NAME,CODE,TYPE,CITY,COUNTRY,LATITUDE,LONGITUDE,POI_AIRPORT_X,POI_LONG_DISTANCE_TRAINS_X,POI_SUBURBAN_TRAINS_X,POI_UNDERGROUND_X,ACTIVE_X,COMPANY,COMPANY_GROUP
20077,Standort,Theodor-Heuss-Allee / Hamburger- Allee,6048600012,normal,Frankfurt am Main,Deutschland,8.650183000000000,50.113779000000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
20098,Standort,Europaallee  / Londoner Straße,6032700008,normal,Frankfurt am Main,Deutschland,8.648037000000000,50.108542000000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
22760,Standort,LMU Projektstandort 3,88000574,normal,München,Deutschland,11.560833330000000,48.134166670000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
22774,Standort,Sendlinger Tor Platz,88000698,normal,München,Deutschland,11.566111110000000,48.133055560000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
22805,Standort,Kurfürstenplatz,88000973,normal,München,Deutschland,11.574722220000000,48.159444440000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
22815,Standort,Prof.-Huber Platz,88001172,normal,München,Deutschland,11.581111110000000,48.150000000000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
22819,Standort,Tal (Sparkassenstr),88001197,normal,München,Deutschland,11.581944440000000,48.135277780000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
22853,Standort,Rosenheimer Platz,88001488,normal,München,Deutschland,11.594166670000000,48.128611110000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
22900,Standort,Prof.-Huber Platz,88002205,normal,München,Deutschland,11.581944440000000,48.150555560000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
23704,Standort,DB Netz,6032700003,normal,Frankfurt am Main,Deutschland,8.647724000000000,50.113473000000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
23722,Standort,Studierendenhaus Jügelstraße / Mertonstraße,6032500001,normal,Frankfurt am Main,Deutschland,8.651872000000000,50.118538000000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
